Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Actively Hiring,Full Description,Hub Tags,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,School Method,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Tío Conejo,https://www.crunchbase.com/organization/tío-conejo,"Apps, Artificial Intelligence (AI), Natural Language Processing","Caracas, NA - Venezuela, Venezuela","Artificial intelligence applied to language for creating applications that analyze, abstract and detect trends in sets of texts.","1,139,119",Latin America,1060,,,Active,,,,,,,For Profit,http://tioconejo.net,https://www.twitter.com/tioconejo_net,,,tioconejo.corporativa@gmail.com,+58 (212) 683-2562,,,,,,,,,,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,1-10,1,,2014-05-01,16557,EUR,22963,Convertible Note,,,,,,,,16557,EUR,22963,Wayra,,1
Evergig,https://www.crunchbase.com/organization/evergig,"Artificial Intelligence (AI), Music, Photography","Paris, Ile-de-France, France",Concerts’ massively multi-pov videos,"1,139,301","European Union (EU), Europe, Middle East, and Africa (EMEA)",75009,,,Active,2012-06-21,day,,,,,For Profit,http://www.evergig.com,http://twitter.com/evergig,http://www.facebook.com/evergig,https://www.linkedin.com/company/evergig-music,contact@evergig.com,33 6 60 67 77 97,1,,"In an instant access digital world, fans are looking for a way to relive the latest concert as soon as the show is over. Thanks to its automated process, EVERGIG’s Artificial Intelligence allows crowdsourced concert videos to be synchronized with HD audio (thanks to deals with indie labels and major companies), ranks all footage against a 14-point algorithm, picks, and then edits the best of each sequence, offering a DYNAMIC and EVOLVING montage of the show by mixing UGC video with professional sound. The result can be watched on evergig.com or shared on any site, blog, or Facebook page, through a fully shareable/embeddable player that features timestamp-based commenting and discussion. • EVERGIG enhances the fans’ experience by providing full-length shows with HQ sound • EVERGIG strengthens the relationships between artists and their fans • EVERGIG supports the rights-holders by splitting the revenues with them. EVERGIG REVOLUTIONIZES THE WAY CONCERTS ARE RECORDED, SHARED AND ENJOYED!",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",3,"Arthur Dagard, Guillaume Jouannet, Nicolas Lapomarda",11-50,1,Seed,2013-06-21,1350000,USD,1350000,Seed,1350000,USD,1350000,Seed,1350000,USD,1350000,1350000,USD,1350000,"360 Capital, Partech",,2
Intelligent Automation,https://www.crunchbase.com/organization/intelligent-automation,"Electronics, Industrial Automation, Intelligent Systems, Manufacturing","Zhuhai, Guangdong, China",Intelligent Automation was founded in 2006 in Zhuhai.,"1,144,056",Asia-Pacific (APAC),,,,Active,2006-01-01,year,,,2015-07-24,day,For Profit,http://www.intelligentgroup.cn,,,https://www.linkedin.com/company/%E8%BF%90%E6%B3%B0%E5%88%A9/about/,,(408) 368-3808,33,,"Intelligent Automation was founded in 2006 in Zhuhai. In 2015 they became the famous list firm CYG’s subsidiary and stock code is 600525.SH. They have been focusing on the research and development of high-end automatic test equipment and assembly equipment. Hitherto they have provided their high quality solution on the industries of consumer electronic, automotive, medical, new energy and LED lighting, industry.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Manufacturing, Science and Engineering",,,11-50,2,M&A,2014-07-01,4235300,USD,4235300,Series B,4235300,USD,4235300,Series B,9382300,USD,9382300,9382300,USD,9382300,Qiming Venture Partners,1,1
Edcoda,https://www.crunchbase.com/organization/edcoda,"E-Learning, EdTech, Education, Gamification, Machine Learning, Mobile Apps, PC Games, Software, Video Games","Kansas City, Kansas, United States",Edcoda is an educational technology startup that helps kids learn better using gaming and adaptive technology.,"1,145,120",Midwestern US,64108,,,Closed,2015-05-01,month,2017-12-01,month,,,For Profit,http://www.edcoda.com,https://twitter.com/codaquest,https://www.facebook.com/edcodainc/,,,,5,,"Edcoda is an edtech startup that has developed a technology that delivers lessons, practice questions and assessments into a game (Coda Quest) and provides educators with student performance insights and analytics. Student in-game interactions with educational items are integrated with an adaptive algorithm that helps students learn at a more personalized pace.",,,,,,,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Education, Gaming, Mobile, Software",1,Clarence Tan,1-10,1,Seed,2015-07-29,,,,Seed,,,,Seed,,,,,,,,,
MARA,https://www.crunchbase.com/organization/mara,"Artificial Intelligence (AI), Internet of Things","Seattle, Washington, United States",MARA is a next generation running assistant for the smart runner.,"1,146,027","Greater Seattle Area, West Coast, Western US",,,Less than $1M,Active,2014-01-01,year,,,,,For Profit,http://mara.ai/,https://www.twitter.com/mara_dot_ai,,,hello@mara.ai,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",,,,1,,2015-06-25,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,Amazon Alexa Fund,,1
Roamz,https://www.crunchbase.com/organization/roamz,"Location Based Services, Machine Learning, Photography, Private Social Networking, Social Media, Software, Travel","Surry Hills, New South Wales, Australia",Roamz is a location-based application that informs users about the happenings in their cities.,"1,154,041","Asia-Pacific (APAC), Australasia",,,,Closed,2011-01-25,day,2013-07-04,day,,,For Profit,http://www.roamz.com,http://twitter.com/roamz,,,info@roamz.com,61 2 9288 4479,24,,Roamz is a location-based application that helps you find out what is happening at places around you. With so much noise on the social web Roamz guides you to the serendipitous moments that the locals find out about. Roamz pulls in social data from multiple sources to give users a unique view of social activity occurring at places nearby. Roamz has developed machine learning techniques so that the more you use Roamz the smarter it gets and the more relevant the displayed activity becomes.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Navigation and Mapping, Software, Travel and Tourism",1,Jonathan Barouch,11-50,1,Early Stage Venture,2011-01-30,3500000,USD,3500000,Series A,3500000,USD,3500000,Series A,3500000,USD,3500000,3500000,USD,3500000,,,
Stryng,https://www.crunchbase.com/organization/videodesk,"Artificial Intelligence (AI), Information Technology, Messaging, Mobile Apps","New York, New York, United States",Stryng is an AI-based messaging app that helps businesses connect with their customers.,"1,156,745","Greater New York Area, East Coast, Northeastern US",10036,,,Closed,2017-04-30,day,2019-01-01,year,,,For Profit,http://www.stryng.com,http://twitter.com/stryngapp,https://www.facebook.com/StryngApp/,https://www.linkedin.com/company/stryng/,contact@stryng.com,929-269-5084,,,"Stryng is a messaging app that helps businesses connect with their customers. They combine live chat, audio, video communication, live collaboration tools, and automatically classify messages by customers to keep track of customer communication in one place. They enable mobile to increase sales and deliver customers online.",,,,,,,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Science and Engineering, Software",,,11-50,1,Seed,2012-07-01,500000,EUR,631360,Seed,500000,EUR,631360,Seed,500000,EUR,631360,500000,EUR,631360,"Karista, Business Angels, Fonds Régional de Co-investissement",,3
Planejei,https://www.crunchbase.com/organization/planejei-2,"Artificial Intelligence (AI), Finance, Financial Services, Insurance, Mobile, Mobile Apps","Porto Alegre, Rio Grande do Sul, Brazil",Planejei analyzes clients' finances and deliver financial tips directly to mobile devices through a robot.,"1,158,013",Latin America,,,,Closed,2015-01-01,year,2018-05-06,day,,,For Profit,https://planejei.com/,https://twitter.com/_planejei,https://www.facebook.com/Planejei/,https://www.linkedin.com/company/planejei,,,,,"Planejei is a financial services company that helps young people achieve their goals and dreams through a robot, who proactively and intelligently analyzes finances to deliver financial tips directly to mobile devices reducing stress and anxiety of day to day financial. Planejei is headquartered in Sao Paulo, Brazil.",,,,,,,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Financial Services, Mobile, Science and Engineering, Software",2,"Anibal Solon, Lucas Montano",1-10,1,Seed,2016-01-01,,,,Seed,,,,Seed,,,,,,,Plug and Play,,1
365looks,https://www.crunchbase.com/organization/365looks,"Artificial Intelligence (AI), Fashion","Madrid, Madrid, Spain","Artificial intelligence that “thinks” like a stylist, so it knows how to match clothes and create outfits.","1,161,384","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Less than $1M,Active,2011-12-01,month,,,,,For Profit,http://365looks.com,http://twitter.com/365looks_com,http://www.facebook.com/365looks,http://www.linkedin.com/company/coquetame,info@365looks.com,,,,365looks is fashion shopper companion that recreates the   personal shopper experience and is completely free to the end user. Wayra startup 2011 Madrid.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Clothing and Apparel, Data and Analytics, Design, Science and Engineering, Software",3,"Alberto López Acosta, Iñaki Casal Castro, Juan Hurtado Bravo",1-10,2,Seed,2012-07-01,140000,EUR,176781,Seed,140000,EUR,176781,Seed,180322,EUR,231111,180322,EUR,231111,Wayra,,1
power games,https://www.crunchbase.com/organization/plaxd,"Analytics, Casual Games, Data Mining, Machine Learning, Mobile","Nicosia, Nicosia, Cyprus",gaming,"1,162,018","Europe, Middle East, and Africa (EMEA), European Union (EU), Middle East",,,Less than $1M,Active,2012-05-01,day,,,,,For Profit,http://notreadyyet.com,,,https://www.linkedin.com/company/id-cards,,,1,,Gaming,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Gaming, Information Technology, Mobile, Software",1,Tod Mod,1-10,1,Seed,2012-05-01,100000,USD,100000,Seed,100000,USD,100000,Seed,100000,USD,100000,100000,USD,100000,,,
Overlap.cc,https://www.crunchbase.com/organization/overlap-cc,"Artificial Intelligence (AI), B2B, Task Management","New York, New York, United States","Overlap is a virtual, personal assistant for scheduling meetings between two people or a group.","1,180,517","Greater New York Area, East Coast, Northeastern US",10013,,$1M to $10M,Active,2014-05-01,day,,,,,For Profit,http://www.overlap.cc,https://twitter.com/overlapcc,,https://www.linkedin.com/company/overlap-cc,owen@overlap.cc,9177215572,,,"Overlap is an artificial intelligence virtual personal assistant for scheduling meetings via email. Simply cc Overlap and your assistant will suggest times based on your email conversation. No more back and forth. Email, schedule, done.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",,,1-10,1,Seed,2015-02-25,,,,Pre-Seed,,,,Pre-Seed,,,,,,,"Avalon Ventures, Genacast Ventures, NYC Seed",,3
Tajitsu Industries,https://www.crunchbase.com/organization/tajitsu,"Analytics, Artificial Intelligence (AI), Big Data, CRM, Machine Learning, Mobile, Predictive Analytics, SaaS, Software","Gothenburg, Vastra Gotaland, Sweden","Tajitsu is a predictive customer analytics platform that helps progressive marketing teams find, engage and retain high value customers","1,204,513","European Union (EU), Nordic Countries, Scandinavia",,,Less than $1M,Closed,2011-01-01,year,,none,,,For Profit,http://www.tajitsu.com,http://twitter.com/tajitsuinc,http://www.facebook.com/tajitsuinc,http://www.linkedin.com/company/tajitsu-industries-ab,info@tajitsu.com,+27 82 333 7096,,,"Tajitsu is a predictive customer analytics platform that helps progressive marketing teams find, engage and retain high value customers",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Mobile, Sales and Marketing, Science and Engineering, Software",3,"John Viklund, Nils Svangård, Per Stenman",1-10,3,Seed,2014-05-01,600000,USD,600000,Seed,600000,USD,600000,Seed,1300000,USD,1300000,1300000,USD,1300000,,,
Tuputech,https://www.crunchbase.com/organization/tuputech,"Artificial Intelligence (AI), Image Recognition, Information Technology, Internet","Guangzhou, Guangdong, China",Tuputech provides image recognition services with state-of-the-art AI algorithms and computer vision technology.,"1,205,617",Asia-Pacific (APAC),,,,Active,2014-01-01,year,,,,,For Profit,https://us.tuputech.com/,https://twitter.com/tuputech,https://www.facebook.com/tuputech,https://www.linkedin.com/company/13286051/,bd@tuputech.com,020-29898058,,,"Tuputech provides image recognition services with state-of-the-art AI algorithms and computer vision technology. With huge amassed data, advanced algorithms, and partner to NVIDIA's computing hardware support, Tuputech is serving a batch of clients, including China Mobile Communications, China Unicom, Thunder, Musical.ly, and Live.me. As a major step to go global, Tuputech is cooperating with Amazon Web Services and delivering fast and reliable service to clients all over the world with the cloud infrastructure of AWS.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",1,Mingqiang Lee,51-100,1,,2015-01-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,Northern Light Venture Capital,,1
