Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company)
Zoba,https://www.crunchbase.com/organization/zoba,"Zoba increases the profitability of mobility operators through decision automation. Zoba’s API-first platform powers fleet rebalancing, driver tasking and routing, and dynamic pricing for the world’s top mobility operators in over 150 cities around the globe. By using Zoba, mobility operators dramatically increase revenue while taking the guesswork out of operations.","Artificial Intelligence (AI), Productivity Tools, Software, Transportation","Boston, Massachusetts, United States",Zoba increases the profitability of mobility operators through decision automation.,15450000,USD,15450000,2024-02-05,day,1,,23,14,15450000,USD,15450000,,,Scientific and technological services,12000000,USD,12000000,4,2021-10-19,"Greater Boston Area, East Coast, New England",$1M to $10M,"NTT Venture Capital, MassChallenge, CRV, Matt Brezina, Founder Collective",,,0,Private,02118,2017-01-01,year,For Profit,https://www.zoba.com,https://www.linkedin.com/company/zoba,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",2,"Daniel Brennan, Joseph Brennan",51-100,M&A,Series A,12000000,USD,12000000,Series A,2,8,,Was Acquired,"3,019","3,016"
UserGems,https://www.crunchbase.com/organization/usergems,"UserGems is an AI-powered prospecting solution for revenue teams. By delivering prospects that are most likely to convert, UserGems helps companies drive bigger pipeline, faster sales cycle, and larger deals. Whenever your customers change their jobs, UserGems automatically surfaces them as new prospects to your sales reps. This allows your reps to be in front of the right buyers at the right time, and before the competition is. Leveraging machine learning, UserGems automatically identifies other prospects that look exactly like your best customers. That means you get a complete, up-to-date list of leads that match your ideal customer profile, persona and other key criteria without requiring reps to spends hours on researching.","Artificial Intelligence (AI), Machine Learning, Marketing, Predictive Analytics, SaaS, Sales","San Francisco, California, United States",An AI-powered solution that combines relationship data and trigger events to identify buyers who will most likely buy from you,22400000,USD,22400000,,,2,"3,293",94,33,22400000,USD,22400000,,Computing; Calculating,Scientific and technological services,20000000,USD,20000000,3,2021-10-26,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Everywhere Ventures (The Fund), Y Combinator, Tiger Global Management, Battery Ventures, Craft Ventures",,,1,Private,94115,2019-01-01,year,For Profit,https://www.usergems.com/,https://www.linkedin.com/company/usergems/,,,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",2,"Christian Kletzl, Stephan Kletzl",51-100,Early Stage Venture,Series A,20000000,USD,20000000,Series A,2,7,,,"3,044","3,041"
Hyperplane AI,https://www.crunchbase.com/organization/hyperplane-ai,Hyperplane AI is an enterprise-grade platform that helps to enhance productivity and efficiency of financial institutions.,"Artificial Intelligence (AI), Finance, Generative AI","Palo Alto, California, United States",Hyperplane AI is an enterprise-grade platform that helps to enhance productivity and efficiency of financial institutions.,6000000,USD,6000000,2024-06-26,day,,,14,,6000000,USD,6000000,,,,6000000,USD,6000000,2,2023-12-13,"San Francisco Bay Area, Silicon Valley, West Coast",,"Latitud, Soma Capital, Clocktower Technology Ventures, Norte Ventures, Crestone Venture Capital",,,,Private,94301,2022-01-01,year,For Profit,http://www.hyperplane.ai,https://www.linkedin.com/company/hyperplane-ai/,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",4,"Daniel Silva, Felipe Lamounier, Felipe Meneses, Rohan Ramanath",11-50,M&A,Seed,6000000,USD,6000000,Seed,1,9,,Was Acquired,"3,048","3,045"
Botpress,https://www.crunchbase.com/organization/botpress,Botpress is the leading open-source conversational assistants platform.  Hundreds of thousands of developers and organizations use Botpress to power their conversational strategy.,"Artificial Intelligence (AI), Computer, Natural Language Processing, Software, Virtual Assistant","Quebec, Quebec, Canada",Making machines understand humans,15000000,USD,15000000,,,3,"395,634",45,20,15000000,USD,15000000,,,Scientific and electric apparatus and instruments,15000000,USD,15000000,2,2021-04-28,,$1M to $10M,"Creative Destruction Lab (CDL), Inovia Capital, One Way Ventures, Decibel Partners, Real Ventures",,,0,Private,,2017-02-01,day,For Profit,https://botpress.com,https://www.linkedin.com/company/botpress/,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",1,Sylvain Perron,11-50,Early Stage Venture,Series A,15000000,USD,15000000,Series A,2,11,,,"3,064","3,061"
Deep 6 AI,https://www.crunchbase.com/organization/deep-6-ai,"Deep 6 AI is a computer software company that utilizes an AI-based platform that finds patients for clinical trials and it helps to provide cure to people. Its platform specializes in analyzing structured data, such as ICD-10 codes, unstructured clinical data, doctor’s notes, pathology reports, and operating notes. The company was founded in 2015 and headquartered in Pasadena, California.","Analytics, Artificial Intelligence (AI), Clinical Trials, Health Care, Machine Learning, Pharmaceutical, Software","Pasadena, California, United States",Deep 6 AI is an AI-based platform that helps to identify patients for clinical trials,17569999,USD,17569999,,,,"1,601",23,25,17569999,USD,17569999,,,,17000000,USD,17000000,4,2019-11-25,"Greater Los Angeles Area, West Coast, Western US",$10M to $50M,"Techstars, Point72 Ventures, Cedars-Sinai Accelerator, Iaso Ventures, Summation Health Ventures",,,,Private,91106,2015-01-01,year,For Profit,https://deep6.ai,https://www.linkedin.com/company/deep-6-ai/,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"Brian Dolan, Wout Brusselaers",51-100,Early Stage Venture,Series A,17000000,USD,17000000,Series A,2,7,,,"3,077","3,074"
Elicit,https://www.crunchbase.com/organization/elicit-52a6,"Elicit is an artificial intelligence research assistant that uses language models to help users automate research workflows. This research assistant finds relevant papers without a perfect keyword match, summarizes takeaways from the papers, and extracts key information from the papers.","Artificial Intelligence (AI), Data Center Automation, Database, Information Technology","Oakland, California, United States",Elicit uses language models to help users automate research workflows.,9000000,USD,9000000,,,,"1,536,083",39,,9000000,USD,9000000,,,,9000000,USD,9000000,1,2023-09-25,"San Francisco Bay Area, West Coast, Western US",,"Basis Set Ventures, Fifty Years, Arash Ferdowsi, Jeff Dean, Tom Preston-Werner",,,,Private,,2023-01-01,year,For Profit,https://elicit.com,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",2,"Andreas Stuhlmüller, Jungwon Byun",1-10,Seed,Seed,9000000,USD,9000000,Seed,1,9,,,"3,088","3,085"
Concentric AI,https://www.crunchbase.com/organization/concentric-inc,"Concentric’s Semantic Intelligence solution delivers data risk insights across the entire inventory of sensitive documents in the cloud and on-premises. Its deep learning technology examines each document’s content and context for efficient actionable security. It scans the documents, identifies sensitive or business-critical data, evaluates the risk each document poses, and highlights critical concerns that need immediate attention.  The company was founded in 2018 and is headquartered in San Jose, California.","Artificial Intelligence (AI), Network Security, Software","San Jose, California, United States","Concentric AI delivers data risk assessment, monitoring, and protection for corporate data.",22000000,USD,22000000,,,,"6,991",20,,22000000,USD,22000000,,,,14500000,USD,14500000,2,2022-05-11,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Citi Ventures, Ballistic Ventures, Clear Ventures, Engineering Capital, Core Ventures",,,,Private,95129,2018-11-01,month,For Profit,https://www.concentric.ai,https://www.linkedin.com/company/concentricinc/about/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",3,"Karthik Krishnan, Madhu Shashanka, Shankar Subramaniam",51-100,Early Stage Venture,Series A,14500000,USD,14500000,Series A,1,6,,,"3,106","3,103"
WindBorne Systems,https://www.crunchbase.com/organization/windborne,"WindBorne develops, manufactures, and operates a network of long-duration smart weather balloons. The company collects atmospheric data for weather forecasting, climate research, and environmental monitoring. The company uses high-altitude balloons equipped with sensors to gather data from various layers of the atmosphere. These balloons can capture precise and comprehensive atmospheric measurements. By providing high-resolution atmospheric data, WindBorne Systems contributes to more accurate weather predictions, which can help mitigate the impacts of severe weather events.","Analytics, Artificial Intelligence (AI), Geospatial","Stanford, California, United States","WindBorne collects atmospheric data using smart weather balloons for weather forecasting, climate research, and environmental monitoring.",20999997,USD,20999997,,,,,35,,20999997,USD,20999997,,,,14999997,USD,14999997,5,2024-05-29,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Pear VC, Ubiquity Ventures, Footwork, Khosla Ventures, Jetstream",,,,Private,,2015-01-01,year,For Profit,https://windbornesystems.com,https://www.linkedin.com/company/windborne,,,"Artificial Intelligence (AI), Data and Analytics, Navigation and Mapping, Science and Engineering, Software",4,"Andrey Sushko, John Dean, Kai Marshland, Paige Brown",11-50,Early Stage Venture,Series A,14999997,USD,14999997,Series A,3,9,,,"3,141","3,138"
PlayHT,https://www.crunchbase.com/organization/play-ht,PlayHT builds and specializes in voice LLMs for realtime conversational use cases.,"Artificial Intelligence (AI), Audio, Generative AI, Machine Learning, Software","San Francisco, California, United States",Leaders in Conversational Voice AI. We're building generative AI voices for the conversational future.,2200000,USD,2200000,,,,"3,349,623",28,17,2200000,USD,2200000,,,,2200000,USD,2200000,1,2023-04-05,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"500 Global, Y Combinator, TRAC, Pioneer Fund",,,,Private,,2022-04-01,day,For Profit,https://play.ht/,https://www.linkedin.com/company/play-ht/,,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",2,"Hammad Syed, Mahmoud Felfel",11-50,Seed,Pre-Seed,2200000,USD,2200000,Pre-Seed,1,4,,,"3,155","3,152"
Archistar.ai,https://www.crunchbase.com/organization/archistar,"Archistar creates cutting-edge technology that revolutionises the way property professionals plan, design, and build.  We believe every person should have access to vibrant well-designed spaces and so, using incredible technology, are on a mission to create better-built environments. We are a fast-growing tech start-up, with a smart, fun team. We are investor-backed and are bringing to market exciting SaaS products:  • Archistar: Find profitable sites, design feasible buildings. Our all-in-one property platform gives you everything you need to know about any site, including lightning-fast feasibility, compliance checks and concept designs to help you understand what to do with a site. Visit www.archistar.ai • Archistar Homes: Sell more homes & delight more customers. Showcase your homes in high-definition 3D and move your customers through your sales & drafting pipeline with ease. Visit www.archistar.ai/for-home-builders • Archistar Academy (formerly IDDA): Rapid online learning for the AEC industry. Whether you’re a student or an experienced professional, we have the online training you need. Visit www.academy.archistar.ai Benjamin and Robert Coorey headquartered the company in Sydney, New South Wales in 2010.","3D Technology, Architecture, Artificial Intelligence (AI), Big Data, Construction, Real Estate, Software","Sydney, New South Wales, Australia","Archistar creates cutting-edge technology that revolutionises the way property professionals plan, design, and build.",35550000,AUD,25266991,,,1,"42,960",,26,35550000,AUD,25266991,,,Scientific and electric apparatus and instruments,5000000,AUD,3306192,7,2024-06-18,"Asia-Pacific (APAC), Australasia",$10M to $50M,"Prabhat Sethi, Airtree Ventures, Skip Capital, NAB Ventures, Skyfield Capital",,,0,Private,2000,2010-04-01,month,For Profit,https://archistar.ai,https://www.linkedin.com/company/archistarai,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Real Estate, Science and Engineering, Software",2,"Benjamin Coorey, Robert Coorey",51-100,,Venture - Series Unknown,5000000,AUD,3306192,Venture - Series Unknown,4,5,1,Made Acquisitions,"3,156","3,153"
