Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company)
Prisma Photonics,https://www.crunchbase.com/organization/prisma-photonics,"Infrastructure, Machine Learning, Power Grid, Railroad, Sensor","Tel Aviv, Tel Aviv, Israel",Prisma Photonics keeps the most critical large-scale infrastructure running with its next-generation optical fiber sensing solutions.,"6,202"
Redica Systems,https://www.crunchbase.com/organization/redicasystems,"Analytics, Artificial Intelligence (AI), Big Data, Information Services, Life Science, Machine Learning","Pleasanton, California, United States",Redica Systems empowers the champions of quality and safety with actionable data intelligence.,"6,220"
ZEALS,https://www.crunchbase.com/organization/zeals,"Chatbot, E-Commerce, Information Technology, Marketing, Messaging, Natural Language Processing","Tokyo, Tokyo, Japan",Conversational Commerce OMOTENASHI REVOLUTION with Chatbot Technology,"6,226"
Faros AI,https://www.crunchbase.com/organization/faros-80df,"Artificial Intelligence (AI), Data Integration","San Francisco, California, United States",The Connected Engineering Operations Platform,"6,366"
Counterpart,https://www.crunchbase.com/organization/counterpart-7676,"Artificial Intelligence (AI), Big Data, FinTech, InsurTech, Software","Los Angeles, California, United States",Counterpart is an insurtech startup company that works in the management liability insurance market.,"6,372"
Windward,https://www.crunchbase.com/organization/windward-naval,"Analytics, Artificial Intelligence (AI), Big Data, Information Technology, Insurance, Machine Learning, Shipping, Software","Tel Aviv, Tel Aviv, Israel",Windward is an intelligence company that merges AI and big data to digitize the maritime industry.,"6,373"
Figure Eight,https://www.crunchbase.com/organization/crowdflower,"Artificial Intelligence (AI), Computer Vision, Enterprise Software, Machine Learning, Software","San Francisco, California, United States",Figure Eight is a Human-in-the-Loop machine learning platform to create customized large scale high-quality training data.,"6,449"
Formlogic,https://www.crunchbase.com/organization/formlogic-3def,"Artificial Intelligence (AI), Industrial Automation, Industrial Engineering, Machine Learning, Manufacturing, Mechanical Engineering","Seattle, Washington, United States",Formlogic is an autonomous manufacturing company that uses machine learning and physics simulation to precision parts.,"6,461"
Wallaroo,https://www.crunchbase.com/organization/sendence,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Real Time","New York, New York, United States",Wallaroo provides an enterprise AI platform that enables clients to deploy ML and analytics projects into production.,"6,499"
HEALWELL AI,https://www.crunchbase.com/organization/mci-onehealth-technologies,"Artificial Intelligence (AI), Health Care, Primary and Urgent Care","Toronto, Ontario, Canada",HEALWELL AI is a healthcare technology company that utilizes AI and data science for the early identification and detection of diseases.,"6,500"
Pymetrics,https://www.crunchbase.com/organization/pymetrics,"Artificial Intelligence (AI), Intelligent Systems, Neuroscience, Recruiting, Software, Staffing Agency","New York, New York, United States",Pymetrics develops neuroscience-based assessment and prediction technology for staffing services.,"6,518"
Inato,https://www.crunchbase.com/organization/inato,"Artificial Intelligence (AI), Clinical Trials, Health Care, Machine Learning, Pharmaceutical","Paris, Ile-de-France, France",Inato is a platform designed for clinical trials that can unlock research site potential.,"6,539"
Kili Technology,https://www.crunchbase.com/organization/kili-technology,"Analytics, Artificial Intelligence (AI), Computer, Machine Learning, Software","Paris, Ile-de-France, France","Kili Technology enables large companies to transform their raw data into high-quality annotated data, ready for AI-driven projects.","6,548"
Nodle,https://www.crunchbase.com/organization/nodle-io,"Artificial Intelligence (AI), Blockchain, Energy, Internet, Internet of Things, Mobile Apps, Mobile Payments, Telecommunications","San Francisco, California, United States",The Nodle network connects the world by using smartphones as nodes to create a digital trust network for social good.,"6,560"
SeeTree,https://www.crunchbase.com/organization/seetree,"Agriculture, AgTech, Artificial Intelligence (AI), Computer Vision, Farming, Forestry, Software","Tel Aviv, Tel Aviv, Israel",The Intelligence Platform for Tree's,"6,573"
NEUCHIPS,https://www.crunchbase.com/organization/neuchips,"Artificial Intelligence (AI), Electronics, Information Technology, Machine Learning, Semiconductor, Software","Hsinchu, T'ai-wan, Taiwan",NEUCHIPS is an AI ASIC solution that provides deep learning inference accelerators to deliver the lowest TCO for data centers.,"6,595"
Tempus Ex,https://www.crunchbase.com/organization/tempus-ex,"Artificial Intelligence (AI), Image Recognition, Information Technology, Machine Learning, Software","San Francisco, California, United States","Tempus Ex merge AI, ML, and data science technologies to delivers cutting-edge solutions that aim to change the sports experience.","6,600"
Diffblue,https://www.crunchbase.com/organization/diffblue,"Artificial Intelligence (AI), Developer Tools, Generative AI, Software","Oxford, Oxfordshire, United Kingdom",Diffblue is a developer of automated testing software that helps improve error-prone manual coding.,"6,625"
Justpoint,https://www.crunchbase.com/organization/intrellit,"Artificial Intelligence (AI), Big Data, Legal Tech, Machine Learning","New York, New York, United States",Using AI to identify sources of harm and eliminate them by using the litigation system to hold responsible parties to account.,"6,646"
Logcomex,https://www.crunchbase.com/organization/logcomex,"Analytics, Artificial Intelligence (AI), Big Data, Database, Information Technology, Logistics, Machine Learning, Marine Transportation, Ports and Harbors, SaaS","Curitiba, Parana, Brazil",Global Trade Intelligence.,"6,814"
Gleamer,https://www.crunchbase.com/organization/gleamer,"Artificial Intelligence (AI), Software","Paris, Ile-de-France, France",Gleamer develops medical grade AI for Radiology,"6,821"
Expert.ai,https://www.crunchbase.com/organization/expert-system,"Artificial Intelligence (AI), InsurTech, Language Learning, Natural Language Processing, Semantic Search, Software, Text Analytics","Modena, Emilia-Romagna, Italy",Expert.ai is an artificial intelligence platform for language understanding.,"6,838"
Node,https://www.crunchbase.com/organization/node,"Artificial Intelligence (AI), Data Integration, Information Technology, Intelligent Systems, Machine Learning, SaaS, Software","San Francisco, California, United States",Node offers an AI-as-a-service solution intended for platforms that leverages people and company data.,"6,858"
Hydrosat,https://www.crunchbase.com/organization/hydrosat,"Aerospace, AgTech, Analytics, Artificial Intelligence (AI), Big Data, Geospatial, Information Services, Machine Learning","Washington, District of Columbia, United States","Hydrosat provides geospatial intelligence for food security, critical infrastructure, and the environment.","6,898"
Trust Stamp,https://www.crunchbase.com/organization/trust-stamp,"Artificial Intelligence (AI), Biometrics, Fraud Detection, Identity Management, InsurTech, Machine Learning, Transaction Processing","Atlanta, Georgia, United States","Trust Stamp is a developer of AI-powered software that provides identity verification, cybersecurity, biometrics, cryptography, and fintech.","6,901"
Granulate,https://www.crunchbase.com/organization/granulate-cloud-solutions,"Artificial Intelligence (AI), Cloud Management, Information Technology, Machine Learning, Software","Tel Aviv, Tel Aviv, Israel",Granulate is an AI-powered optimization software creating a streamlined environment for any application.,"6,934"
Lawgeex,https://www.crunchbase.com/organization/lawgeex,"Analytics, Artificial Intelligence (AI), Legal, Legal Tech, SaaS","Tel Aviv, Tel Aviv, Israel",Lawgeex is a legal tech startup developing an AI-powered contract review platform.,"6,970"
Mind Foundry,https://www.crunchbase.com/organization/mind-foundry,"Artificial Intelligence (AI), Big Data, Data Integration, Enterprise Software, Finance, Infrastructure, Insurance, Machine Learning, National Security","Oxford, Oxfordshire, United Kingdom",Mind Foundry is an Oxford University company that has developed an AI platform to solve the world's most important problems.,"6,991"
Verusen,https://www.crunchbase.com/organization/autit,"Artificial Intelligence (AI), Machine Learning, Software, Supply Chain Management","Atlanta, Georgia, United States",Verusen is the global supply chain innovator focused on providing the simplest way to manage materials for global supply chains.,"7,016"
Adarga,https://www.crunchbase.com/organization/adarga,"Analytics, Artificial Intelligence (AI), Business Intelligence, Machine Learning, Natural Language Processing, SaaS, Software, Text Analytics","London, England, United Kingdom","Adarga's powerful AI platform analyses huge volumes of unstructured data at speed, unlocking actionable and insightful intelligence","7,046"
RIOS,https://www.crunchbase.com/organization/rios,Artificial Intelligence (AI),"Palo Alto, California, United States","Robotics, Automation, Logistics","7,119"
FYLD,https://www.crunchbase.com/organization/fyld,"Artificial Intelligence (AI), Civil Engineering, Infrastructure, Productivity Tools, Public Safety, Real Time, Software","London, England, United Kingdom",FYLD enhances productivity and safety on-site by providing real-time remote visibility and data analytics capabilities.,"7,146"
