Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Announced Date,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Equity Crowdfunding - Tribaldata,https://www.crunchbase.com/funding_round/tribaldata-equity-crowdfunding--d2c48ae3,Tribaldata,https://www.crunchbase.com/organization/tribaldata,Equity Crowdfunding,428167,EUR,429467,,3000026,EUR,3009132,Yes,2022-07-12,Tribaldata offers Brands smart marketing solutions in the intersection of consumer data and climate impact,,"Ad Targeting, Analytics, Artificial Intelligence (AI), Big Data, Consumer Research, Digital Marketing, GreenTech, SaaS, Sustainability","Madrid, Madrid, Spain, Europe",https://tribaldata.com,$1M to $10M,1728167,EUR,1840240,Seed,3,,Crowdcube,1,,"94,103"
Seed Round - Bytescare,https://www.crunchbase.com/funding_round/bytescare-seed--c0313d95,Bytescare,https://www.crunchbase.com/organization/bytescare,Seed,300000,USD,300000,Seed,,,,Yes,2022-03-22,Bytescare focuses on providing content security solutions to its customers.,,"Artificial Intelligence (AI), Cyber Security, Information Technology, Internet, Software","New Castle, Delaware, United States, North America",https://www.bytescare.com/,$1M to $10M,300000,USD,300000,Seed,2,,,,,"94,277"
Pre Seed Round - Adzact,https://www.crunchbase.com/funding_round/growth-intelligence-pre-seed--2207fe53,Adzact,https://www.crunchbase.com/organization/growth-intelligence,Pre-Seed,500000,GBP,601345,Seed,,,,Yes,2023-03-01,Adzact is a digital advertising platform that transforms open-source structured and unstructured information into business insights.,,"Artificial Intelligence (AI), Big Data, Business Intelligence, Data Mining, Enterprise Software, Machine Learning, Predictive Analytics, Software","London, England, United Kingdom, Europe",https://adzact.li,,9839536,USD,9839536,Seed,6,,Shard Capital Partners,1,,"94,619"
Pre Seed Round - OASYS NOW,https://www.crunchbase.com/funding_round/oasys-now-pre-seed--c938e04b,OASYS NOW,https://www.crunchbase.com/organization/oasys-now,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2023-05-03,First AI-powered platform for Patient Recruitment for Clinical Trials in EU. Privacy-by-design solution for finding eligible patient cohorts,,"Artificial Intelligence (AI), Biopharma, Biotechnology, Clinical Trials, Cyber Security, Genetics, Life Science, Pharmaceutical, Precision Medicine, Software","Delft, Zuid-Holland, The Netherlands, Europe",https://oasysnow.com,,250000,USD,250000,,2,,"Golden Egg Check Capital, Graduate Entrepreneur Fund, TenNine VC",3,2,"96,168"
Venture Round - Ascanio,https://www.crunchbase.com/funding_round/ascanio-0f0a-series-unknown--682d7bbf,Ascanio,https://www.crunchbase.com/organization/ascanio-0f0a,Venture - Series Unknown,300000,EUR,330383,,,,,Yes,2023-02-01,"Ascanio is a software development company that specializes in VR, artificial intelligence, augmented, and mixed reality for gaming platform.",,"Artificial Intelligence (AI), Machine Learning, Online Games, Video Games","Nicosia, Nicosia, Cyprus, Europe",https://ascanio.io/,$1M to $10M,300000,EUR,330383,,1,Kinisis Ventures,Kinisis Ventures,1,1,"95,596"
Grant - Ai.Fish,https://www.crunchbase.com/funding_round/ai-fish-grant--b5cffaf2,Ai.Fish,https://www.crunchbase.com/organization/ai-fish,Grant,300000,USD,300000,,,,,No,2023-01-01,Ai.Fish is a software company harnessing the latest artificial intelligence and computer vision research and technology.,,"Aquaculture, Artificial Intelligence (AI), Computer Vision, Machine Learning, Seafood, Software","Kailua, Hawaii, United States, North America",http://www.ai.fish,,1950000,USD,1950000,,3,,,,,"95,604"
Seed Round - Psychic,https://www.crunchbase.com/funding_round/sidekick-d380-seed--945c5f24,Psychic,https://www.crunchbase.com/organization/sidekick-d380,Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,Psychic is a data integration platform for large language models,,"Artificial Intelligence (AI), Information Technology, Software","San Francisco, California, United States, North America",https://www.psychic.dev,,500000,USD,500000,Seed,1,Y Combinator,"TwentyTwo VC, Y Combinator",2,,"95,956"
Seed Round - PoplarML,https://www.crunchbase.com/funding_round/poplarml-seed--5ec04c61,PoplarML,https://www.crunchbase.com/organization/poplarml,Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,"PoplarML enables the deployment of production-ready, scalable ML systems.",Women Founded,"Artificial Intelligence (AI), Developer APIs, Machine Learning","San Francisco, California, United States, North America",https://poplarml.com,,500000,USD,500000,Seed,1,Y Combinator,"TwentyTwo VC, Y Combinator",2,,"96,085"
Pre Seed Round - Beekids,https://www.crunchbase.com/funding_round/beekids-pre-seed--717a7c90,Beekids,https://www.crunchbase.com/organization/beekids,Pre-Seed,500000,USD,500000,Seed,1100000,USD,1100000,Yes,2022-01-01,A connected learning platform to develop thinking skills for children 4-10 years old,,"Artificial Intelligence (AI), EdTech","Da Nang, NA - Vietnam, Vietnam, Asia",https://beekids.edu.vn/,,500000,USD,500000,Seed,2,,,,,"96,644"
"Funding Round - Kin, Personal AI",https://www.crunchbase.com/funding_round/kin-personal-ai-undisclosed--2aa973aa,"Kin, Personal AI",https://www.crunchbase.com/organization/kin-personal-ai,Funding Round,400000,USD,400000,,600000,USD,600000,Yes,2022-02-26,Personal AI for your private life,,"Artificial Intelligence (AI), Cyber Security, Identity Management, Personalization, Self-Storage","Copenhagen, Hovedstaden, Denmark, Europe",https://mykin.ai,,1500000,USD,1500000,Seed,2,Morph Capital,"Kasper Juul, Morph Capital, Simon Westh Henriksen",3,1,"96,923"
Angel Round - AXOVISION,https://www.crunchbase.com/funding_round/axovision-angel--260ff5fe,AXOVISION,https://www.crunchbase.com/organization/axovision,Angel,220000,EUR,250227,Seed,,,,Yes,2022-01-01,Redefining finance with next-gen technologies.,,"Artificial Intelligence (AI), Financial Services, FinTech, Machine Learning, Quantum Computing, SaaS, Software","Hanover, Niedersachsen, Germany, Europe",https://www.axovision.com/,Less than $1M,996000,EUR,1157639,Seed,6,,,,,"97,010"
Pre Seed Round - Courus,https://www.crunchbase.com/funding_round/courus-pre-seed--4b9e673d,Courus,https://www.crunchbase.com/organization/courus,Pre-Seed,375000,USD,375000,Seed,10000000,USD,10000000,Yes,2023-03-01,Courus is an artificial intelligence company that provides real time market research and actionable insights.,,"Artificial Intelligence (AI), Machine Learning, Market Research",,https://www.courus.ai,,575000,USD,575000,Seed,2,,Travel Capitalist Ventures **Only Travel/Tourism**,1,,"97,221"
Pre Seed Round - HireSure,https://www.crunchbase.com/funding_round/hiresure-pre-seed--96435e66,HireSure,https://www.crunchbase.com/organization/hiresure,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-08-05,HireSure is a blockchain registry for job offers & employment history.,,"Artificial Intelligence (AI), Human Resources","Bengaluru, Karnataka, India, Asia",https://www.hiresure.ai,$10M to $50M,3001780,USD,3001780,Seed,2,Y Combinator,"DVC, Y Combinator",2,1,"98,991"
Pre Seed Round - NoCap Meta,https://www.crunchbase.com/funding_round/nocap-meta-pre-seed--f20e353a,NoCap Meta,https://www.crunchbase.com/organization/nocap-meta,Pre-Seed,250000,USD,250000,Seed,,,,Yes,2022-12-15,"Innovating, creating, and providing comprehensive business solutions for an ""Experiential Internet""",,"Artificial Intelligence (AI), Software, Virtual Reality","Bangalore, Karnataka, India, Asia",https://nocapmeta.in,,250000,USD,250000,Seed,1,SunICON Ventures,SunICON Ventures,1,1,"98,910"
Pre Seed Round - Gaston,https://www.crunchbase.com/funding_round/nila-technology-pre-seed--099c4b97,Gaston,https://www.crunchbase.com/organization/nila-technology,Pre-Seed,250000,GBP,338242,Seed,4200000,GBP,5682472,Yes,2022-01-04,B2B SaaS platform delivering nutrigenomics based food personalisations for boosting health and wellbeing,,"Cloud Computing, Machine Learning, Software, Software Engineering","Bushey, Hertford, United Kingdom, Europe",https://www.gogaston.io,,250000,GBP,338242,Seed,2,,"Arjun Purkayastha, COREangels, Dale Clutterbuck, Guillaume Fournier, Jonathan Seaman, Kamesh Iyer, Krunal Gupta, Ramprasad Srinivasan, Ulrike Gupta",9,,"97,786"
Series A - Be Boss Tech,https://www.crunchbase.com/funding_round/be-boss-tech-series-a--f4965129,Be Boss Tech,https://www.crunchbase.com/organization/be-boss-tech,Series A,250000,USD,250000,Early Stage Venture,350000,USD,350000,Yes,2023-03-12,"Be BossTech is an AI based Web Design, App Development, and Digital Marketing expertise",,"Artificial Intelligence (AI), Digital Marketing, Mobile Apps, Software, Web Design, Web Development","Colombo, Western, Sri Lanka, Asia",https://bebosstech.com,,306000,USD,306000,Early Stage Venture,2,,,,,"97,905"
Seed Round - Pibit.ai,https://www.crunchbase.com/funding_round/pitbit-ai-seed--b0786626,Pibit.ai,https://www.crunchbase.com/organization/pitbit-ai,Seed,500000,USD,500000,Seed,,,,Yes,2023-03-10,Transforming Commercial P&C Industry with LLM-Powered Document AI,,"Artificial Intelligence (AI), Commercial Insurance, Insurance, InsurTech, Software","Palo Alto, California, United States, North America",https://pibit.ai/,$1M to $10M,625000,USD,625000,Seed,2,,Arali Ventures,1,,"98,058"
Seed Round - DeepSales,https://www.crunchbase.com/funding_round/deepsales-seed--7bf7a021,DeepSales,https://www.crunchbase.com/organization/deepsales,Seed,700000,USD,700000,Seed,,,,Yes,2023-03-27,DeepSales is a sales intelligence that helps sales teams find high quality leads and business opportunities.,,"Generative AI, Information Technology, Lead Generation, Software","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://deepsales.com,,3440564,USD,3440564,Seed,6,Bluepoint Partners,"Bluepoint Partners, TIPS Program",2,,"99,939"
Pre Seed Round - MetaSoul,https://www.crunchbase.com/funding_round/emoshape-pre-seed--19fbdb06,MetaSoul,https://www.crunchbase.com/organization/emoshape,Pre-Seed,400000,USD,400000,Seed,14000000,USD,14000000,Yes,2022-05-01,"MetaSoul INC, an American Delaware company headquartered in New York, specializes in Emotion Synthesis for generative AI models.",,"Artificial Intelligence (AI), Gaming, Metaverse, SaaS, Software","New York, New York, United States, North America",http://www.metasoul.one,$1M to $10M,1570000,USD,1570000,Seed,13,,,,,"99,261"
Pre Seed Round - Keeano,https://www.crunchbase.com/funding_round/keeano-pre-seed--48717945,Keeano,https://www.crunchbase.com/organization/keeano,Pre-Seed,300000,EUR,326145,Seed,,,,Yes,2023-01-23,"Keeano is a recommendation engine, helping boaters plan their day at sea in seconds.",,"Information Technology, Machine Learning, Mobile Apps, Software, Travel","Nicosia, Nicosia, Cyprus, Europe",https://keeano.com,,630000,EUR,700167,Seed,2,,,,,"99,101"
Seed Round - CultYvate,https://www.crunchbase.com/funding_round/cultyvate-seed--a6b77255,CultYvate,https://www.crunchbase.com/organization/cultyvate,Seed,45000000,INR,596414,Seed,,,,Yes,2022-04-05,CultYvate is an Ag-Tech company that provides farming solutions built on artificial intelligence and the internet of things.,,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Internet of Things, Machine Learning","Bengaluru, Karnataka, India, Asia",https://www.cultyvate.com,Less than $1M,666462,USD,666462,Seed,3,SiriusOne Capital,"LV Angel Fund, SiriusOne Capital, SunICON Ventures, The Chennai Angels",4,1,"99,232"
Pre Seed Round - BANTgo,https://www.crunchbase.com/funding_round/bantgo-pre-seed--35c82998,BANTgo,https://www.crunchbase.com/organization/bantgo,Pre-Seed,300000,USD,300000,Seed,6000000,USD,6000000,Yes,2022-01-01,BANTgo is an AI and Blockchain technology company that incentivizes sustainable recycling behavior for consumers around the world.,,"Artificial Intelligence (AI), Blockchain, Chatbot, CleanTech, Web3","Dubai, Dubai, United Arab Emirates, Asia",https://bantgo.ae/,,1705500,USD,1705500,Seed,7,Aleksander Stefanowicz,"Aleksander Stefanowicz, Newchip Accelerator",2,,"98,985"
Grant - zhiva.ai,https://www.crunchbase.com/funding_round/zhiva-ai-grant--a0957c11,zhiva.ai,https://www.crunchbase.com/organization/zhiva-ai,Grant,250000,EUR,255258,,,,,No,2022-07-31,"An AI solutions for radiology platform, which enables you to quickly deploy your AI model in a clinical setting.",,"Artificial Intelligence (AI), Health Care","Lublin, Lubelskie, Poland, Europe",https://zhiva.org/,,250000,EUR,255258,M&A,1,,,,,"99,107"
Seed Round - Compose AI,https://www.crunchbase.com/funding_round/compose-ai-e255-seed--7d4d8ba1,Compose AI,https://www.crunchbase.com/organization/compose-ai-e255,Seed,650000,USD,650000,Seed,15000000,USD,15000000,Yes,2023-02-10,AI Website Builder,,"Artificial Intelligence (AI), Information Technology, Software","Timisoara, Timis, Romania, Europe",https://composeai.pro,,650000,USD,650000,Seed,1,,,,,"99,193"
Pre Seed Round - SPRX Technologies,https://www.crunchbase.com/funding_round/sprx-technologies-pre-seed--537449a5,SPRX Technologies,https://www.crunchbase.com/organization/sprx-technologies,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,SPRX Technologies is an AI-based software that makes corporate R&D tax credits.,,"Artificial Intelligence (AI), Information Technology, Software","Wilmington, Delaware, United States, North America",https://www.sprx.tax,,500000,USD,500000,Seed,2,Y Combinator,"Decacorn Capital, Y Combinator",2,,"100,371"
Angel Round - Doosty,https://www.crunchbase.com/funding_round/doosty-angel--c1c72673,Doosty,https://www.crunchbase.com/organization/doosty,Angel,500000,USD,500000,Seed,,,,Yes,2022-01-01,Automate your Order Management with AI (B2B SaaS),,"Artificial Intelligence (AI), B2B, SaaS","San Francisco, California, United States, North America",https://www.doosty.com,,500000,USD,500000,Seed,1,,Puya Vahabi,1,,"99,703"
Seed Round - DeepSales,https://www.crunchbase.com/funding_round/deepsales-seed--ce0c640d,DeepSales,https://www.crunchbase.com/organization/deepsales,Seed,500000,USD,500000,Seed,,,,Yes,2022-05-11,DeepSales is a sales intelligence that helps sales teams find high quality leads and business opportunities.,,"Generative AI, Information Technology, Lead Generation, Software","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://deepsales.com,,3440564,USD,3440564,Seed,6,,Kingsley Ventures,1,,"100,435"
Seed Round - PropTexx,https://www.crunchbase.com/funding_round/proptexx-seed--a4717688,PropTexx,https://www.crunchbase.com/organization/proptexx,Seed,600000,USD,600000,Seed,,,,Yes,2022-01-02,"PropTexx supports the Real Estate sector with innovative computer vision, immersive generative AI, and real-time BI solutions.",,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Natural Language Processing, PropTech, Real Estate, Software","San Francisco, California, United States, North America",https://proptexx.com,Less than $1M,625000,USD,625000,Seed,6,,Newchip Accelerator,1,,"99,419"
Pre Seed Round - BEYOND THE BOX,https://www.crunchbase.com/funding_round/beyond-the-box-48e1-pre-seed--5d02db56,BEYOND THE BOX,https://www.crunchbase.com/organization/beyond-the-box-48e1,Pre-Seed,650000,EUR,697197,Seed,,,,Yes,2022-12-30,subscription-based platform to get on-demand support from professional experts in 1:1 video calls,,"Artificial Intelligence (AI), E-Learning, EdTech, Human Resources","Milano, Lombardia, Italy, Europe",https://beyondthebox.it/,,830000,EUR,891984,Seed,2,,CDP Venture Capital,1,,"100,758"
Pre Seed Round - Correcto.,https://www.crunchbase.com/funding_round/correcto-pre-seed--295af7e4,Correcto.,https://www.crunchbase.com/organization/correcto,Pre-Seed,625000,USD,625000,Seed,,,,Yes,2022-02-01,"Correcto enhances language, spelling, and provides real-time solutions through artificial intelligence and machine learning.",,"Artificial Intelligence (AI), B2B, B2C, Education, Machine Learning","Madrid, Madrid, Spain, Europe",https://correcto.es,,7596025,USD,7596025,Seed,6,,"Asymmetry Ventures, DVC, Tarek Alaruri",3,1,"99,415"
